run_tag,epoch,train_loss,train_auc,val_loss,val_auc,lr,epoch_seconds
v4,1,2.216026,0.590219,1.157949,0.691278,0.0003,456.1
v4,2,1.337424,0.667065,0.842791,0.734425,0.0002948888739433602,436.7
v4,3,0.886023,0.74104,1.049891,0.69389,0.0002799038105676658,437.6
v4,4,0.737596,0.783909,0.928623,0.738191,0.00025606601717798207,437.0
v4,5,0.728848,0.791349,0.912115,0.736901,0.00022499999999999997,438.4
v4,6,0.553086,0.849137,0.85694,0.745815,0.0001888228567653781,434.7
v4,7,0.530013,0.866383,0.902456,0.749381,0.00015,454.4
v4,8,0.433737,0.894176,0.885131,0.747881,0.0001111771432346219,461.3
v4,9,0.40931,0.90819,0.876684,0.76096,7.500000000000003e-05,485.9
v4,10,0.380023,0.917258,0.866363,0.75452,4.393398282201788e-05,474.8
v4,11,0.345792,0.928991,0.840396,0.764106,2.0096189432334194e-05,472.2
v4,12,0.342942,0.931442,0.865887,0.757226,5.1111260566397705e-06,451.0
