metric,v1,v2,v3,v4,v4 minus v1,v4 minus v3
train AUC,0.9792227362601501,0.8960120183933383,0.9782549332591906,0.9708626468440964,-0.008360089416053706,-0.007392286415094151
train images,2052.0,2210.0,2210.0,2208.0,156.0,-2.0
train patients,1043.0,1115.0,1115.0,1118.0,75.0,3.0
val AUC,0.7554377178769578,0.7497976829372177,0.7503513927932531,0.764399882535554,0.008962164658596228,0.014048489742300885
val images,405.0,445.0,445.0,439.0,34.0,-6.0
val patients,208.0,225.0,225.0,223.0,15.0,-2.0
test AUC,0.7541304848997157,0.6626748460919316,0.6693967673867172,0.7527339789909623,-0.0013965059087533982,0.08333721160424512
test images,400.0,430.0,430.0,438.0,38.0,8.0
test patients,209.0,225.0,225.0,224.0,15.0,-1.0
AUC all,0.7541304848997157,0.6626748460919316,0.6693967673867172,0.7527339789909623,-0.0013965059087533982,0.08333721160424512
sensitivity all,0.6568047337278107,0.6532663316582915,0.4472361809045226,0.6368715083798883,-0.019933225347922412,0.18963532747536566
specificity all,0.7445887445887446,0.5670995670995671,0.7402597402597403,0.7027027027027027,-0.041886041886041836,-0.03755703755703754
N all,400.0,430.0,430.0,438.0,38.0,8.0
AUC non-dense (A/B),0.8188271604938271,0.707057505601195,0.7029499626587007,0.800552104899931,-0.018275055593896083,0.09760214224123032
sensitivity non-dense (A/B),0.7111111111111111,0.6730769230769231,0.4519230769230769,0.6195652173913043,-0.09154589371980681,0.1676421404682274
specificity non-dense (A/B),0.8148148148148148,0.6310679611650486,0.7572815533980582,0.7857142857142857,-0.02910052910052907,0.02843273231622745
N non-dense (A/B),198.0,207.0,207.0,218.0,20.0,11.0
AUC dense (C/D),0.695019038797983,0.6320312499999999,0.6356496710526316,0.7060323221847722,0.011013283386789197,0.0703826511321406
sensitivity dense (C/D),0.5949367088607594,0.631578947368421,0.4421052631578947,0.6551724137931034,0.06023570493234398,0.2130671506352087
specificity dense (C/D),0.6829268292682927,0.515625,0.7265625,0.6240601503759399,-0.058866678892352864,-0.10250234962406013
N dense (C/D),202.0,223.0,223.0,220.0,18.0,-3.0
density gap (A/B minus C/D),0.1238081216958441,0.07502625560119502,0.0673002916060691,0.09451978271515882,-0.02928833898068528,0.027219491109089722
gap CI low (image),0.031183952463561017,-0.02570999186826624,-0.02786383375451311,0.005005709572740525,-0.02617824289082049,0.032869543327253635
gap CI high (image),0.2165861781370711,0.17841752938456168,0.17432791095100722,0.18814722939688816,-0.028438948740182934,0.01381931844588094
gap p (image),0.01164244676072978,0.15182816432892812,0.19153030876207533,0.03975582138963049,0.028113374628900713,-0.15177448737244484
gap CI low (patient),0.018498263059817235,-0.04457867422643479,-0.043176188785654025,-0.009625791663140797,-0.028124054722958033,0.03355039712251323
gap CI high (patient),0.2262099474700576,0.18694568858429042,0.17372394751002376,0.19695650011432012,-0.029253447355737483,0.023232552604296353
gap p (patient),0.02161861956434782,0.20612174217523116,0.2439196290578619,0.07358097380980053,0.0519623542454527,-0.17033865524806138
