metric,v1,v2,v3 selected,v3 final epoch,v3 selected minus v2
train AUC,0.9792227362601501,0.8960120183933383,0.9782549332591906,0.9782549332591906,0.08224291486585222
train images,2052.0,2210.0,2210.0,2210.0,0.0
val AUC,0.7554377178769578,0.7497976829372177,0.7503513927932531,0.7503513927932531,0.0005537098560354226
val images,405.0,445.0,445.0,445.0,0.0
test AUC,0.7541304848997157,0.6626748460919316,0.6693967673867172,0.6693967673867172,0.006721921294785549
test images,400.0,430.0,430.0,430.0,0.0
AUC all,0.7541304848997157,0.6626748460919316,0.6693967673867172,0.6693967673867172,0.006721921294785549
sensitivity all,0.6568047337278107,0.6532663316582915,0.4472361809045226,0.4472361809045226,-0.2060301507537689
specificity all,0.7445887445887446,0.5670995670995671,0.7402597402597403,0.7402597402597403,0.17316017316017318
N all,400.0,430.0,430.0,430.0,0.0
AUC non-dense (A/B),0.8188271604938271,0.707057505601195,0.7029499626587007,0.7029499626587007,-0.004107542942494269
sensitivity non-dense (A/B),0.7111111111111111,0.6730769230769231,0.4519230769230769,0.4519230769230769,-0.2211538461538462
specificity non-dense (A/B),0.8148148148148148,0.6310679611650486,0.7572815533980582,0.7572815533980582,0.12621359223300965
N non-dense (A/B),198.0,207.0,207.0,207.0,0.0
AUC dense (C/D),0.695019038797983,0.6320312499999999,0.6356496710526316,0.6356496710526316,0.0036184210526316596
sensitivity dense (C/D),0.5949367088607594,0.631578947368421,0.4421052631578947,0.4421052631578947,-0.1894736842105263
specificity dense (C/D),0.6829268292682927,0.515625,0.7265625,0.7265625,0.2109375
N dense (C/D),202.0,223.0,223.0,223.0,0.0
density gap (A/B minus C/D),0.1238081216958441,0.07502625560119502,0.0673002916060691,0.0673002916060691,-0.0077259639951259285
gap CI low (image),0.031183952463561017,-0.02570999186826624,-0.02786383375451311,-0.02786383375451311,-0.0021538418862468676
gap CI high (image),0.2165861781370711,0.17841752938456168,0.17432791095100722,0.17432791095100722,-0.004089618433554459
gap p (image),0.01164244676072978,0.15182816432892812,0.19153030876207533,0.19153030876207533,0.03970214443314721
gap CI low (patient),0.018498263059817235,-0.04457867422643479,-0.043176188785654025,-0.043176188785654025,0.001402485440780768
gap CI high (patient),0.2262099474700576,0.18694568858429042,0.17372394751002376,0.17372394751002376,-0.013221741074266657
gap p (patient),0.02161861956434782,0.20612174217523116,0.2439196290578619,0.2439196290578619,0.03779788688263075
