uid,rel,rows,cols,aspect,mpx,file_mb,near_black,near_white,mid,class,name_has_abnormality_suffix
1.3.6.1.4.1.9590.100.1.2.100918565011624154113353240323776636898,jpeg/1.3.6.1.4.1.9590.100.1.2.100918565011624154113353240323776636898/1-196.jpg,4544,3072,1.4791666666666667,13.959168,1.209336,0.7048266773492518,0.003999450397043721,0.2911738722537045,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.101088347411683211841739390870264222457,jpeg/1.3.6.1.4.1.9590.100.1.2.101088347411683211841739390870264222457/1-048.jpg,5491,2911,1.8862933699759532,15.984301,1.573323,0.538516385546043,0.03903961768487718,0.42244399676907984,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.101282442711963955211635160453427358442,jpeg/1.3.6.1.4.1.9590.100.1.2.101282442711963955211635160453427358442/1-072.jpg,4741,2506,1.8918595371109337,11.880946,1.160844,0.55278695821023,0.006484247971499913,0.44072879381827,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.104466989412721388217575474423818806809,jpeg/1.3.6.1.4.1.9590.100.1.2.104466989412721388217575474423818806809/1-173.jpg,5491,2836,1.9361777150916784,15.572476,1.524996,0.49629975348814154,0.03323408557508774,0.4704661609367708,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.104540687813176285233314643571726790076,jpeg/1.3.6.1.4.1.9590.100.1.2.104540687813176285233314643571726790076/1-168.jpg,5341,2251,2.37272323411817,12.022591,1.195689,0.4855424259213343,0.03513660241789811,0.47932097166076754,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.10934298311067781740288275432644531576,jpeg/1.3.6.1.4.1.9590.100.1.2.10934298311067781740288275432644531576/1-127.jpg,5071,2431,2.085972850678733,12.327601,0.945245,0.6871216873420871,0.007135451577318247,0.3057428610805946,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.113245695112438704910460181832053519696,jpeg/1.3.6.1.4.1.9590.100.1.2.113245695112438704910460181832053519696/1-259.jpg,5491,2221,2.4723097703737054,12.195511,1.011556,0.5569220510727266,0.03384696221421144,0.4092309867130619,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.114501333713829221314528651860576350917,jpeg/1.3.6.1.4.1.9590.100.1.2.114501333713829221314528651860576350917/1-069.jpg,5296,2926,1.8099794941900205,15.496096,2.335787,0.4821693154198322,0.012802514904399147,0.5050281696757687,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.120248097712357420920838888041500811658,jpeg/1.3.6.1.4.1.9590.100.1.2.120248097712357420920838888041500811658/1-149.jpg,6421,4351,1.4757527005286142,27.937771,2.817239,0.49869440192633835,0.01634242760455013,0.48496317046911147,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.120762895113344405411143779050723940544,jpeg/1.3.6.1.4.1.9590.100.1.2.120762895113344405411143779050723940544/1-049.jpg,4512,3056,1.4764397905759161,13.788672,1.493471,0.5904602705757306,0.00021394373584345179,0.409325785688426,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.123937719512916030240534490940177572702,jpeg/1.3.6.1.4.1.9590.100.1.2.123937719512916030240534490940177572702/1-250.jpg,4756,2626,1.8111195734958112,12.489256,1.573865,0.6402508684264299,4.804129245168808e-07,0.35974865116064564,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.12782344611412614902728154934267614531,jpeg/1.3.6.1.4.1.9590.100.1.2.12782344611412614902728154934267614531/1-085.jpg,5251,3046,1.7239001969796455,15.994546,1.703887,0.43918514473621195,0.01665717801555605,0.5441576772482319,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.129453075811084771938278980161876810114,jpeg/1.3.6.1.4.1.9590.100.1.2.129453075811084771938278980161876810114/1-022.jpg,5760,3912,1.4723926380368098,22.53312,2.576155,0.5525249055612361,0.0013995398773006134,0.44607555456146325,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.129584955013303352822322938041144963536,jpeg/1.3.6.1.4.1.9590.100.1.2.129584955013303352822322938041144963536/1-067.jpg,5386,2791,1.9297742744536008,15.032326,1.283455,0.5877236164250297,0.011876871217401752,0.40039951235756854,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.133538142112165735121542229871081882567,jpeg/1.3.6.1.4.1.9590.100.1.2.133538142112165735121542229871081882567/1-054.jpg,5311,2611,2.034086556874761,13.867021,1.411314,0.48525822525256146,0.022302410878298953,0.4924393638691396,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.136687544312709719238508433274271277284,jpeg/1.3.6.1.4.1.9590.100.1.2.136687544312709719238508433274271277284/1-283.jpg,5431,3196,1.6993116395494368,17.357476,1.744067,0.49989439708860894,0.014305305679235852,0.48580029723215523,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.139234401912454853221162894091529331263,jpeg/1.3.6.1.4.1.9590.100.1.2.139234401912454853221162894091529331263/1-219.jpg,4376,2952,1.4823848238482384,12.917952,1.339335,0.6331558593808059,0.00041624245081573304,0.3664278981683784,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.147398241412716944210846493583224406915,jpeg/1.3.6.1.4.1.9590.100.1.2.147398241412716944210846493583224406915/1-139.jpg,4512,2792,1.6160458452722064,12.597504,1.805694,0.4327511227620964,0.001812740047552277,0.5654361371903514,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.148153754311223758704203455231205410649,jpeg/1.3.6.1.4.1.9590.100.1.2.148153754311223758704203455231205410649/1-197.jpg,4624,3112,1.4858611825192802,14.389888,1.686849,0.5463487276620916,0.0061566149785182486,0.4474946573593901,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.149678841211254125432979826042647826817,jpeg/1.3.6.1.4.1.9590.100.1.2.149678841211254125432979826042647826817/1-267.jpg,5491,2851,1.9259908803928447,15.654841,1.543135,0.5212672552854417,0.04080277787554661,0.4379299668390117,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.149942032311168769825288813301972692776,jpeg/1.3.6.1.4.1.9590.100.1.2.149942032311168769825288813301972692776/1-266.jpg,5341,2416,2.2106788079470197,12.903856,0.996171,0.6813832237433524,0.007339356545826302,0.31127741971082135,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.153281335513645539417766473510556793450,jpeg/1.3.6.1.4.1.9590.100.1.2.153281335513645539417766473510556793450/1-098.jpg,6841,3646,1.876302797586396,24.942286,2.189074,0.6011719615435409,0.021136996023540102,0.377691042432919,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.153667468610757963111534821171489110348,jpeg/1.3.6.1.4.1.9590.100.1.2.153667468610757963111534821171489110348/1-053.jpg,4831,2731,1.7689491028927133,13.193461,1.128654,0.5868983127323452,0.022791366116896847,0.390310321150758,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.158403059012945602114600513492305861703,jpeg/1.3.6.1.4.1.9590.100.1.2.158403059012945602114600513492305861703/1-005.jpg,5491,3271,1.6786915316416997,17.961061,1.87508,0.49612559079889545,0.022883670402322,0.4809907387987825,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.158682188012072650235747027632697987981,jpeg/1.3.6.1.4.1.9590.100.1.2.158682188012072650235747027632697987981/1-255.jpg,6721,3376,1.9908175355450237,22.690096,2.134924,0.4917506739504319,0.03897656492947407,0.469272761120094,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.15995324612513297805389764184183861099,jpeg/1.3.6.1.4.1.9590.100.1.2.15995324612513297805389764184183861099/1-054.jpg,5491,2791,1.9673951988534575,15.325381,1.499639,0.5161748344135784,0.03316172041660824,0.4506634451698134,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.160774588912073940140978200673940941357,jpeg/1.3.6.1.4.1.9590.100.1.2.160774588912073940140978200673940941357/1-063.jpg,4464,3056,1.4607329842931938,13.641984,1.506937,0.5616993100123853,0.003454116351404605,0.43484657363621015,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.160952072712923540436691470670185493050,jpeg/1.3.6.1.4.1.9590.100.1.2.160952072712923540436691470670185493050/1-264.jpg,5752,4016,1.4322709163346614,23.100032,1.98323,0.688850171289806,0.0021061442685447363,0.3090436844416493,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.161274345813031314602548578632137342413,jpeg/1.3.6.1.4.1.9590.100.1.2.161274345813031314602548578632137342413/1-246.jpg,4272,3104,1.3762886597938144,13.260288,1.303522,0.615756007712653,0.0037429051314722575,0.3805010871558747,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.165100488610511635540300174462059270301,jpeg/1.3.6.1.4.1.9590.100.1.2.165100488610511635540300174462059270301/1-087.jpg,6631,4891,1.3557554692291964,32.432221,4.01541,0.38779333058935433,1.3566755110604359e-06,0.6122053127351346,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.16538698211686486425718009862712591172,jpeg/1.3.6.1.4.1.9590.100.1.2.16538698211686486425718009862712591172/1-100.jpg,4584,2936,1.561307901907357,13.458624,0.911991,0.788467825536994,2.0804504234608233e-06,0.21153009401258252,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.166059636612391779430407668611634437956,jpeg/1.3.6.1.4.1.9590.100.1.2.166059636612391779430407668611634437956/1-209.jpg,4232,2944,1.4375,12.459008,1.003887,0.6980635215901619,0.0026010899102079394,0.2993353884996301,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.166306213011523167100206271232508074491,jpeg/1.3.6.1.4.1.9590.100.1.2.166306213011523167100206271232508074491/1-064.jpg,4480,3008,1.4893617021276595,13.47584,1.020368,0.7390285874572569,5.491308890577508e-06,0.26096592123385254,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.167357131510910399505356233161938719844,jpeg/1.3.6.1.4.1.9590.100.1.2.167357131510910399505356233161938719844/1-293.jpg,5026,2161,2.3257751041184638,10.861186,1.30267,0.542617721490084,0.00036883633150191884,0.45701344217841405,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.168768908113283153907760093620901628238,jpeg/1.3.6.1.4.1.9590.100.1.2.168768908113283153907760093620901628238/1-006.jpg,6661,3601,1.8497639544570952,23.986261,1.953773,0.5755723661974661,0.019972683529125276,0.4044549502734086,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.171130805912113865022755513943080674175,jpeg/1.3.6.1.4.1.9590.100.1.2.171130805912113865022755513943080674175/1-084.jpg,6601,3841,1.718562874251497,25.354441,2.332562,0.504794367187981,0.046284278166495565,0.44892135464552346,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.171409475611478222602707974992888863867,jpeg/1.3.6.1.4.1.9590.100.1.2.171409475611478222602707974992888863867/1-007.jpg,6526,3706,1.7609282245008095,24.185356,2.363047,0.4741196697704181,0.007460837045359183,0.5184194931842228,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.172660415211083198922346282250282946691,jpeg/1.3.6.1.4.1.9590.100.1.2.172660415211083198922346282250282946691/1-115.jpg,4488,3080,1.457142857142857,13.82304,1.605393,0.5410939995833044,0.0014582175845544829,0.4574477828321411,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.172930807011519106941584787631508021781,jpeg/1.3.6.1.4.1.9590.100.1.2.172930807011519106941584787631508021781/1-232.jpg,5776,4064,1.421259842519685,23.473664,2.288037,0.6434638836101598,6.816149366370755e-07,0.3565354347749035,full mammogram,False
1.3.6.1.4.1.9590.100.1.2.174390361112646747718661211471328897934,jpeg/1.3.6.1.4.1.9590.100.1.2.174390361112646747718661211471328897934/1-044.jpg,4728,3064,1.5430809399477807,14.486592,1.821248,0.5693921662182521,0.0001809259210171723,0.4304269078607308,full mammogram,False
