metric,v1,v2,v2 minus v1
train AUC,0.9792227362601501,0.8960120183933383,-0.08321071786681178
train images,2052.0,2210.0,158.0
train patients,1043.0,1115.0,72.0
val AUC,0.7554377178769578,0.7497976829372177,-0.0056400349397400795
val images,405.0,445.0,40.0
val patients,208.0,225.0,17.0
test AUC,0.7541304848997157,0.6626748460919316,-0.09145563880778407
test images,400.0,430.0,30.0
test patients,209.0,225.0,16.0
AUC all,0.7541304848997157,0.6626748460919316,-0.09145563880778407
sensitivity all,0.6568047337278107,0.6532663316582915,-0.0035384020695191643
specificity all,0.7445887445887446,0.5670995670995671,-0.17748917748917747
N all,400.0,430.0,30.0
malignant all,169.0,199.0,30.0
AUC non-dense (A/B),0.8188271604938271,0.707057505601195,-0.11176965489263213
sensitivity non-dense (A/B),0.7111111111111111,0.6730769230769231,-0.03803418803418801
specificity non-dense (A/B),0.8148148148148148,0.6310679611650486,-0.18374685364976617
N non-dense (A/B),198.0,207.0,9.0
malignant non-dense (A/B),90.0,104.0,14.0
AUC dense (C/D),0.695019038797983,0.6320312499999999,-0.06298778879798306
sensitivity dense (C/D),0.5949367088607594,0.631578947368421,0.03664223850766157
specificity dense (C/D),0.6829268292682927,0.515625,-0.16730182926829273
N dense (C/D),202.0,223.0,21.0
malignant dense (C/D),79.0,95.0,16.0
density gap (A/B minus C/D),0.1238081216958441,0.07502625560119502,-0.04878186609464907
gap CI low (image-level),0.031183952463561017,-0.02570999186826624,-0.05689394433182726
gap CI high (image-level),0.2165861781370711,0.17841752938456168,-0.038168648752509415
gap z (image-level),2.5228003866764475,1.4331038396201208,-1.0896965470563267
gap p (image-level),0.01164244676072978,0.15182816432892812,0.14018571756819834
gap CI low (patient-level),0.018498263059817235,-0.04457867422643479,-0.06307693728625202
gap CI high (patient-level),0.2262099474700576,0.18694568858429042,-0.03926425888576718
gap z (patient-level),2.2970026324384247,1.264301748727124,-1.0327008837113008
gap p (patient-level),0.02161861956434782,0.20612174217523116,0.18450312261088334
unique images,2857.0,3085.0,228.0
patients,1460.0,1565.0,105.0
common subset N,48.0,48.0,0.0
common subset AUC,0.7622377622377623,0.5821678321678321,-0.18006993006993022
common subset paired AUC difference (CI),"[-0.3389, -0.0247]",-0.18006993006993022,
